state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
DE,PSI_06,Iatrogenic pneumothorax rate,1,6,0,0,,07/01/2022,06/30/2024
DE,PSI_08,In-hospital fall-associated fracture rate,0,7,0,0,,07/01/2022,06/30/2024
DE,PSI_09,Postoperative hemorrhage or hematoma rate,0,7,0,0,,07/01/2022,06/30/2024
DE,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,6,0,1,,07/01/2022,06/30/2024
DE,PSI_11,Postoperative respiratory failure rate,0,6,0,1,,07/01/2022,06/30/2024
DE,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,6,1,0,,07/01/2022,06/30/2024
DE,PSI_13,Postoperative sepsis rate,0,6,0,1,,07/01/2022,06/30/2024
DE,PSI_14,Postoperative wound dehiscence rate,0,6,0,1,,07/01/2022,06/30/2024
DE,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,7,0,0,,07/01/2022,06/30/2024
DE,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,5,1,Not Available,,07/01/2022,06/30/2024
FL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,119,0,43,,04/01/2023,03/31/2025
FL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,19,136,31,3,,07/01/2024,06/30/2025
FL,MORT_30_AMI,Death rate for heart attack patients,0,144,0,36,,07/01/2022,06/30/2025
FL,MORT_30_CABG,Death rate for CABG surgery patients,0,64,0,13,,07/01/2022,06/30/2025
FL,MORT_30_COPD,Death rate for COPD patients,0,163,1,27,,07/01/2022,06/30/2025
FL,MORT_30_HF,Death rate for heart failure patients,0,162,10,18,,07/01/2022,06/30/2025
FL,MORT_30_PN,Death rate for pneumonia patients,3,162,15,11,,07/01/2022,06/30/2025
FL,MORT_30_STK,Death rate for stroke patients,2,144,8,22,,07/01/2023,06/30/2025
FL,PSI_03,Pressure ulcer rate,6,168,2,0,,07/01/2022,06/30/2024
FL,PSI_04,Death rate among surgical inpatients with serious treatable complications,2,105,10,50,,07/01/2022,06/30/2024
FL,PSI_06,Iatrogenic pneumothorax rate,1,175,0,0,,07/01/2022,06/30/2024
FL,PSI_08,In-hospital fall-associated fracture rate,1,175,0,0,,07/01/2022,06/30/2024
FL,PSI_09,Postoperative hemorrhage or hematoma rate,0,170,0,2,,07/01/2022,06/30/2024
FL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,3,153,0,13,,07/01/2022,06/30/2024
FL,PSI_11,Postoperative respiratory failure rate,9,146,2,11,,07/01/2022,06/30/2024
FL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3,165,2,2,,07/01/2022,06/30/2024
FL,PSI_13,Postoperative sepsis rate,4,148,1,14,,07/01/2022,06/30/2024
FL,PSI_14,Postoperative wound dehiscence rate,0,160,0,10,,07/01/2022,06/30/2024
FL,PSI_15,Abdominopelvic accidental puncture or laceration rate,2,168,0,4,,07/01/2022,06/30/2024
FL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,6,163,2,Not Available,,07/01/2022,06/30/2024
GA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,42,0,38,,04/01/2023,03/31/2025
GA,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,14,87,16,12,,07/01/2024,06/30/2025
GA,MORT_30_AMI,Death rate for heart attack patients,0,58,0,50,,07/01/2022,06/30/2025
GA,MORT_30_CABG,Death rate for CABG surgery patients,0,20,0,8,,07/01/2022,06/30/2025
GA,MORT_30_COPD,Death rate for COPD patients,0,77,1,50,,07/01/2022,06/30/2025
GA,MORT_30_HF,Death rate for heart failure patients,1,81,2,43,,07/01/2022,06/30/2025
GA,MORT_30_PN,Death rate for pneumonia patients,1,93,3,33,,07/01/2022,06/30/2025
GA,MORT_30_STK,Death rate for stroke patients,3,62,7,35,,07/01/2023,06/30/2025
GA,PSI_03,Pressure ulcer rate,6,93,1,1,,07/01/2022,06/30/2024
