state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
KY,PSI_03,Pressure ulcer rate,2,61,0,2,,07/01/2022,06/30/2024
KY,PSI_04,Death rate among surgical inpatients with serious treatable complications,3,19,1,27,,07/01/2022,06/30/2024
KY,PSI_06,Iatrogenic pneumothorax rate,0,63,0,2,,07/01/2022,06/30/2024
KY,PSI_08,In-hospital fall-associated fracture rate,1,62,0,2,,07/01/2022,06/30/2024
KY,PSI_09,Postoperative hemorrhage or hematoma rate,1,50,0,8,,07/01/2022,06/30/2024
KY,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,35,0,14,,07/01/2022,06/30/2024
KY,PSI_11,Postoperative respiratory failure rate,4,32,0,14,,07/01/2022,06/30/2024
KY,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,52,0,6,,07/01/2022,06/30/2024
KY,PSI_13,Postoperative sepsis rate,1,35,0,11,,07/01/2022,06/30/2024
KY,PSI_14,Postoperative wound dehiscence rate,0,40,0,15,,07/01/2022,06/30/2024
KY,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,53,0,8,,07/01/2022,06/30/2024
KY,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,4,54,0,Not Available,,07/01/2022,06/30/2024
LA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,17,0,40,,04/01/2023,03/31/2025
LA,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,15,85,0,12,,07/01/2024,06/30/2025
LA,MORT_30_AMI,Death rate for heart attack patients,0,32,0,42,,07/01/2022,06/30/2025
LA,MORT_30_CABG,Death rate for CABG surgery patients,0,20,0,4,,07/01/2022,06/30/2025
LA,MORT_30_COPD,Death rate for COPD patients,0,40,0,54,,07/01/2022,06/30/2025
LA,MORT_30_HF,Death rate for heart failure patients,0,58,1,37,,07/01/2022,06/30/2025
LA,MORT_30_PN,Death rate for pneumonia patients,0,74,0,26,,07/01/2022,06/30/2025
LA,MORT_30_STK,Death rate for stroke patients,0,35,0,44,,07/01/2023,06/30/2025
LA,PSI_03,Pressure ulcer rate,5,78,0,3,,07/01/2022,06/30/2024
